Group	Diet	Challenge	Age	bird_ID	LBW
1	control	mock	22	1_22_1	870
1	control	mock	22	1_22_2	952
1	control	mock	22	1_22_3	968
1	control	mock	22	1_22_4	1308
1	control	mock	22	1_22_5	1052
1	control	mock	22	1_22_6	929
1	control	mock	22	1_22_7	960
2	GOS	mock	22	2_22_1	1119
2	GOS	mock	22	2_22_2	1110
2	GOS	mock	22	2_22_3	1132
2	GOS	mock	22	2_22_4	1159
2	GOS	mock	22	2_22_5	1057
2	GOS	mock	22	2_22_6	1282
2	GOS	mock	22	2_22_7	1165
3	control	SE	22	3_22_1	1081
3	control	SE	22	3_22_2	1098
3	control	SE	22	3_22_3	1194
3	control	SE	22	3_22_4	1005
3	control	SE	22	3_22_5	1047
3	control	SE	22	3_22_6	1071
3	control	SE	22	3_22_7	1242
4	GOS	SE	22	4_22_1	1157
4	GOS	SE	22	4_22_2	1128
4	GOS	SE	22	4_22_3	1220
4	GOS	SE	22	4_22_4	1311
4	GOS	SE	22	4_22_5	1290
4	GOS	SE	22	4_22_6	1059
4	GOS	SE	22	4_22_7	1281
1	control	mock	24	1_24_1	1062
1	control	mock	24	1_24_2	1090
1	control	mock	24	1_24_3	1040
1	control	mock	24	1_24_4	1263
1	control	mock	24	1_24_5	1052
1	control	mock	24	1_24_6	944
1	control	mock	24	1_24_7	1112
2	GOS	mock	24	2_24_1	960
2	GOS	mock	24	2_24_2	1250
2	GOS	mock	24	2_24_3	1365
2	GOS	mock	24	2_24_4	1320
2	GOS	mock	24	2_24_5	1140
2	GOS	mock	24	2_24_6	1360
2	GOS	mock	24	2_24_7	1290
3	control	SE	24	3_24_1	1174
3	control	SE	24	3_24_2	1089
3	control	SE	24	3_24_3	1004
3	control	SE	24	3_24_4	1297
3	control	SE	24	3_24_5	1240
3	control	SE	24	3_24_6	1222
3	control	SE	24	3_24_7	1324
4	GOS	SE	24	4_24_1	1287
4	GOS	SE	24	4_24_2	1341
4	GOS	SE	24	4_24_3	1312
4	GOS	SE	24	4_24_4	1402
4	GOS	SE	24	4_24_5	1416
4	GOS	SE	24	4_24_6	1250
4	GOS	SE	24	4_24_7	1283
1	control	mock	28	1_28_1	1441
1	control	mock	28	1_28_2	1407
1	control	mock	28	1_28_3	1435
1	control	mock	28	1_28_4	1460
1	control	mock	28	1_28_5	1398
1	control	mock	28	1_28_6	1203
1	control	mock	28	1_28_7	1412
2	GOS	mock	28	2_28_1	1470
2	GOS	mock	28	2_28_2	1460
2	GOS	mock	28	2_28_3	1667
2	GOS	mock	28	2_28_4	1502
2	GOS	mock	28	2_28_5	1417
2	GOS	mock	28	2_28_6	1255
2	GOS	mock	28	2_28_7	1289
3	control	SE	28	3_28_1	1467
3	control	SE	28	3_28_2	1460
3	control	SE	28	3_28_3	1430
3	control	SE	28	3_28_4	1402
3	control	SE	28	3_28_5	1484
3	control	SE	28	3_28_6	1534
3	control	SE	28	3_28_7	1423
4	GOS	SE	28	4_28_1	1310
4	GOS	SE	28	4_28_2	1264
4	GOS	SE	28	4_28_3	1397
4	GOS	SE	28	4_28_4	1540
4	GOS	SE	28	4_28_5	1487
4	GOS	SE	28	4_28_6	1502
4	GOS	SE	28	4_28_7	1336
1	control	mock	35	1_35_1	2253
1	control	mock	35	1_35_2	2118
1	control	mock	35	1_35_3	2263
1	control	mock	35	1_35_4	2356
1	control	mock	35	1_35_5	1998
1	control	mock	35	1_35_6	1728
1	control	mock	35	1_35_7	1754
2	GOS	mock	35	2_35_1	1887
2	GOS	mock	35	2_35_2	1934
2	GOS	mock	35	2_35_3	2568
2	GOS	mock	35	2_35_4	2545
2	GOS	mock	35	2_35_5	1860
2	GOS	mock	35	2_35_6	2564
2	GOS	mock	35	2_35_7	2530
3	control	SE	35	3_35_1	2293
3	control	SE	35	3_35_2	2440
3	control	SE	35	3_35_3	2009
3	control	SE	35	3_35_4	2540
3	control	SE	35	3_35_5	2234
3	control	SE	35	3_35_6	2336
3	control	SE	35	3_35_7	2148
4	GOS	SE	35	4_35_1	1840
4	GOS	SE	35	4_35_2	2720
4	GOS	SE	35	4_35_3	2394
4	GOS	SE	35	4_35_4	2425
4	GOS	SE	35	4_35_5	2518
4	GOS	SE	35	4_35_6	2064
4	GOS	SE	35	4_35_7	1618
