pen,Age,Cohort,rep,Diet,Challenge,VL
B7,22,GOS_Mock,V1,GOS,Mock,656.122792
B7,22,GOS_Mock,V2,GOS,Mock,606.418678
B7,22,GOS_Mock,V3,GOS,Mock,801.080197
B7,22,GOS_Mock,V4,GOS,Mock,787.136177
B7,22,GOS_Mock,V5,GOS,Mock,837.643475
B7,22,GOS_Mock,V6,GOS,Mock,787.372859
B7,22,GOS_Mock,V7,GOS,Mock,856.029448
B7,22,GOS_Mock,V8,GOS,Mock,778.952002
B7,22,GOS_Mock,V9,GOS,Mock,774.485915
B7,22,GOS_Mock,V10,GOS,Mock,743.445295
B1,22,GOS_Mock,V1,GOS,Mock,581.098608
B1,22,GOS_Mock,V2,GOS,Mock,653.957125
B1,22,GOS_Mock,V3,GOS,Mock,725.336094
B1,22,GOS_Mock,V4,GOS,Mock,709.144737
B1,22,GOS_Mock,V5,GOS,Mock,656.036621
B1,22,GOS_Mock,V6,GOS,Mock,639.325971
B1,22,GOS_Mock,V7,GOS,Mock,592.58203
B3,22,GOS_Mock,V1,GOS,Mock,724.856241
B3,22,GOS_Mock,V2,GOS,Mock,663.464052
B3,22,GOS_Mock,V3,GOS,Mock,597.880372
B3,22,GOS_Mock,V4,GOS,Mock,378.332327
B3,22,GOS_Mock,V5,GOS,Mock,642.265499
B3,22,GOS_Mock,V6,GOS,Mock,340.107997
B3,22,GOS_Mock,V7,GOS,Mock,444.932528
B2,22,GOS_Mock,V1,GOS,Mock,474.134128
B2,22,GOS_Mock,V2,GOS,Mock,700.317065
B2,22,GOS_Mock,V3,GOS,Mock,531.130275
B2,22,GOS_Mock,V4,GOS,Mock,727.729188
B2,22,GOS_Mock,V5,GOS,Mock,670.468321
B2,22,GOS_Mock,V6,GOS,Mock,686.83486
B8,22,GOS_Mock,V1,GOS,Mock,317.300906
B8,22,GOS_Mock,V2,GOS,Mock,721.373176
B8,22,GOS_Mock,V3,GOS,Mock,632.698506
B8,22,GOS_Mock,V4,GOS,Mock,682.538452
B8,22,GOS_Mock,V5,GOS,Mock,581.933543
B8,22,GOS_Mock,V6,GOS,Mock,707.125214
B9,22,GOS_Mock,V1,GOS,Mock,671.131824
B9,22,GOS_Mock,V2,GOS,Mock,620.868097
B9,22,GOS_Mock,V3,GOS,Mock,535.361341
B9,22,GOS_Mock,V4,GOS,Mock,644.404864
B9,22,GOS_Mock,V5,GOS,Mock,488.360642
B10,22,GOS_Mock,V1,GOS,Mock,684.757903
B10,22,GOS_Mock,V2,GOS,Mock,402.885936
B10,22,GOS_Mock,V3,GOS,Mock,751.599951
B10,22,GOS_Mock,V4,GOS,Mock,441.088833
B10,22,GOS_Mock,V5,GOS,Mock,522.280091
B5,22,GOS_SE,V1,GOS,SE,614.890229
B5,22,GOS_SE,V2,GOS,SE,752.986822
B5,22,GOS_SE,V3,GOS,SE,501.913809
B5,22,GOS_SE,V4,GOS,SE,652.683876
B5,22,GOS_SE,V5,GOS,SE,662.742517
B5,22,GOS_SE,V6,GOS,SE,680.243191
B10,22,GOS_SE,V1,GOS,SE,480.406143
B10,22,GOS_SE,V2,GOS,SE,395.77086
B10,22,GOS_SE,V3,GOS,SE,424.536391
B10,22,GOS_SE,V4,GOS,SE,566.067803
B10,22,GOS_SE,V5,GOS,SE,543.203517
B10,22,GOS_SE,V6,GOS,SE,507.607065
B9,22,GOS_SE,V1,GOS,SE,479.167869
B9,22,GOS_SE,V2,GOS,SE,536.24305
B9,22,GOS_SE,V3,GOS,SE,396.286268
B9,22,GOS_SE,V4,GOS,SE,533.716159
B9,22,GOS_SE,V5,GOS,SE,482.747976
B4,22,GOS_SE,V1,GOS,SE,392.651061
B4,22,GOS_SE,V2,GOS,SE,493.206246
B4,22,GOS_SE,V3,GOS,SE,387.510706
B4,22,GOS_SE,V4,GOS,SE,365.577092
B3,22,GOS_SE,V1,GOS,SE,755.8123
B3,22,GOS_SE,V2,GOS,SE,825.4378
B3,22,GOS_SE,V3,GOS,SE,802.6947
B11,22,GOS_SE,V1,GOS,SE,481.453077
B11,22,GOS_SE,V2,GOS,SE,508.443099
B11,22,GOS_SE,V3,GOS,SE,485.93671
B11,22,GOS_SE,V4,GOS,SE,397.676069
B2,22,GOS_SE,V1,GOS,SE,627.463367
B2,22,GOS_SE,V2,GOS,SE,542.275437
B2,22,GOS_SE,V3,GOS,SE,472.646521
B1,22,ctl_Mock,V1,ctl,Mock,440.907935
B1,22,ctl_Mock,V2,ctl,Mock,588.506117
B1,22,ctl_Mock,V3,ctl,Mock,577.84942
B1,22,ctl_Mock,V4,ctl,Mock,459.92195
B1,22,ctl_Mock,V5,ctl,Mock,552.703463
B1,22,ctl_Mock,V6,ctl,Mock,289.458917
B1,22,ctl_Mock,V7,ctl,Mock,538.653366
B1,22,ctl_Mock,V8,ctl,Mock,513.504407
B1,22,ctl_Mock,V9,ctl,Mock,600.733673
B1,22,ctl_Mock,V10,ctl,Mock,595.645415
B2,22,ctl_Mock,V1,ctl,Mock,710.925484
B2,22,ctl_Mock,V2,ctl,Mock,780.515596
B2,22,ctl_Mock,V3,ctl,Mock,770.803906
B2,22,ctl_Mock,V4,ctl,Mock,692.927097
B2,22,ctl_Mock,V5,ctl,Mock,855.785899
B2,22,ctl_Mock,V6,ctl,Mock,675.49038
B2,22,ctl_Mock,V7,ctl,Mock,768.793325
B2,22,ctl_Mock,V8,ctl,Mock,686.479572
B2,22,ctl_Mock,V9,ctl,Mock,814.731551
B2,22,ctl_Mock,V10,ctl,Mock,820.652616
B4,22,ctl_Mock,V1,ctl,Mock,889.603873
B4,22,ctl_Mock,V2,ctl,Mock,800.930771
B4,22,ctl_Mock,V3,ctl,Mock,724.351091
B4,22,ctl_Mock,V4,ctl,Mock,659.509995
B4,22,ctl_Mock,V5,ctl,Mock,645.530642
B4,22,ctl_Mock,V6,ctl,Mock,597.013148
B4,22,ctl_Mock,V7,ctl,Mock,650.797659
B4,22,ctl_Mock,V8,ctl,Mock,642.531493
B4,22,ctl_Mock,V9,ctl,Mock,605.235832
B4,22,ctl_Mock,V10,ctl,Mock,638.39831
B6,22,ctl_Mock,V1,ctl,Mock,550.190463
B6,22,ctl_Mock,V2,ctl,Mock,575.085239
B6,22,ctl_Mock,V3,ctl,Mock,818.814714
B6,22,ctl_Mock,V4,ctl,Mock,625.632596
B6,22,ctl_Mock,V5,ctl,Mock,846.251144
